id,doi,PMID,DOID,DO label,internal factor name,factor type,sample type,cohort size,# of probes after quality control,array,abstract,keywords,summary of abstract,conclusion,journal,sjr
39,10.18632/oncotarget.11640,27577081,DOID:1612,breast cancer,,,peripheral whole blood,96,"392,370 probes",450K/MassARRAY,"DNA methylation changes in peripheral blood DNA have been shown to be associated with solid tumors. We sought to identify methylation alterations in whole blood DNA that are associated with breast cancer (BC). Epigenome-wide DNA methylation profiling on blood DNA from BC cases and healthy controls was performed by applying Infinium HumanMethylation450K BeadChips. Promising CpG sites were selected and validated in three independent larger sample cohorts via MassARRAY EpiTyper assays. CpG sites located in three genes (cg06418238 in RPTOR, cg00736299 in MGRN1 and cg27466532 in RAPSN), which showed significant hypomethylation in BC patients compared to healthy controls in the discovery cohort (p < 1.00 × 10−6) were selected and successfully validated in three independent cohorts (validation I, n =211; validation II, n=378; validation III, n=520). The observed methylation differences are likely not cell-type specific, as the differences were only seen in whole blood, but not in specific sub cell-types of leucocytes. Moreover, we observed in quartile analysis that women in the lower methylation quartiles of these three loci had higher ORs than women in the higher quartiles. The combined AUC of three loci was 0.79 (95%CI 0.73-0.85) in validation cohort I, and was 0.60 (95%CI 0.54-0.66) and 0.62 (95%CI 0.57-0.67) in validation cohort II and III, respectively. Our study suggests that hypomethylation of CpG sites in RPTOR, MGRN1 and RAPSN in blood is associated with BC and might serve as blood-based marker supplements for BC if these could be verified in prospective studies.",breast cancer; DNA methylation; MGRN1; RAPSN; RPTOR,"In a study seeking methylation alterations associated with breast cancer (BC) in blood DNA, three CpG sites (cg06418238 in RPTOR, cg00736299 in MGRN1, and cg27466532 in RAPSN) displayed significant hypomethylation in BC patients compared to healthy controls. This finding was validated across three independent cohorts. The study suggests these hypomethylated sites could serve as potential blood-based markers for BC pending further verification in prospective research.",,Oncotarget,0.801
40,10.4046/trd.2018.0042,30302959,DOID:1324,lung cancer,,,blood,"6 (3 cases, 3 controls)",n/a,EPIC,"Background: 
The development of lung cancer results from the interaction between genetic mutations and dynamic epigenetic alterations, although the exact mechanisms are not completely understood. Changes in DNA methylation may be a promising biomarker for early detection and prognosis of lung cancer. We evaluated the serial changes in genome-wide DNA methylation patterns in blood samples of lung cancer patients.

Methods: 
Blood samples were obtained for three consecutive years from three patients (2 years before, 1 year before, and after lung cancer detection) and from three control subjects (without lung cancer). We used the MethylationEPIC BeadChip method, which covers the 850,000 bp cytosine-phosphate-guanine (CpG) site, to conduct an epigenome-wide analysis. Significant differentially methylated regions (DMRs) were identified using p-values <0.05 in a correlation test identifying serial methylation changes and serial increase or decrease in β value above 0.1 for three consecutive years.

Results: 
We found three significant CpG sites with differentially methylated β values and 7,105 CpG sites with significant correlation from control patients without lung cancer. However, there were no significant DMRs. In contrast, we found 11 significant CpG sites with differentially methylated β values and 10,562 CpG sites with significant correlation from patients with lung cancer. There were two significant DMRs: cg21126229 (RNF212) and cg27098574 (BCAR1).

Conclusion: 
This study revealed DNA methylation changes that might be implicated in lung cancer development. The DNA methylation changes may be the possible candidate target regions for the early detection and prevention of lung cancer.", DNA Methylation; Lung Neoplasms; Biomarkers,"In a study analyzing DNA methylation patterns in blood samples of lung cancer patients, 11 significant CpG sites with differential methylation were identified in patients with lung cancer, compared to three in control patients without lung cancer. Notably, two significant differentially methylated regions (DMRs) were found: cg21126229 (RNF212) and cg27098574 (BCAR1). These DNA methylation changes could be potential targets for early lung cancer detection and prevention.",,Tuberculosis and Respiratory Diseases,0.689
41,10.1139/apnm-2017-0436,29049890,,,bodyweight,lifestyle,peripheral blood mononuclear cells,20,n/a,450K,"Physical activity confers many health benefits, but the underlying mechanisms require further exploration. In this pilot randomized controlled trial we tested the association between longitudinal measures of DNA methylation and changes in objective measures, including physical activity, weight loss, and C-reactive protein levels in community-dwelling women aged 55 to 70 years. We assessed DNA methylation from 20 healthy postmenopausal women, who did not have a mobility disability and allocated them to a group-based intervention, Everyday Activity Supports You, or a control group (monthly group-based health-related education sessions). The original randomized controlled trial was 6 months in duration and consisted of nine 2-h sessions that focused on reducing sedentary behaviour for the intervention group, or six 1-h sessions that focused on other topics for the control group. We collected peripheral blood mononuclear cells, both at baseline and 6 months later. Samples were processed using the Illumina 450k Methylation array to quantify DNA methylation at >485 000 CpG sites in the genome. There were no significant associations between DNA methylation and physical activity, but we did observe alterations at epigenetic modifications that correlated with change in percent body weight over a 6-month period at 12 genomic loci, 2 of which were located near the previously reported weight-associated genes RUNX3 and NAMPT. We also generated a potential epigenetic predictor of weight loss using baseline DNA methylation at 5 CpG sites. These exploratory findings suggest a potential biological link between body weight changes and epigenetic processes.",,"In a pilot randomized controlled trial studying 20 postmenopausal women, researchers explored the association between DNA methylation and measures like physical activity, weight loss, and C-reactive protein levels. While no significant associations between DNA methylation and physical activity were found, epigenetic modifications did correlate with changes in body weight at 12 genomic loci, notably near the weight-associated genes RUNX3 and NAMPT. Additionally, an epigenetic predictor of weight loss was identified using baseline DNA methylation at 5 CpG sites, suggesting a potential biological connection between body weight alterations and epigenetic processes.",,"Applied Physiology, Nutrition, and Metabolism",0.857
42,10.1155/2021/1984690,34104645,DOID:0081057,gestational diabetes insipidus,,,"GSE88929: umbilical cord blood
GSE102177: peripheral blood","GSE88929: 68 cases, 64 controls
GSE102177: 18 cases, 18 controls",n/a,450K,"Background. Gestational diabetes mellitus (GDM) is the most prevalent metabolic disease during pregnancy, but the diagnosis is controversial and lagging partly due to the lack of useful biomarkers. CpG methylation is involved in the development of GDM. However, the specific CpG methylation sites serving as diagnostic biomarkers of GDM remain unclear. Here, we aimed to explore CpG signatures and establish the predicting model for the GDM diagnosis. Methods. DNA methylation data of GSE88929 and GSE102177 were obtained from the GEO database, followed by the epigenome-wide association study (EWAS). GO and KEGG pathway analyses were performed by using the clusterProfiler package of R. The PPI network was constructed in the STRING database and Cytoscape software. The SVM model was established, in which the β-values of selected CpG sites were the predictor variable and the occurrence of GDM was the outcome variable. Results. We identified 62 significant CpG methylation sites in the GDM samples compared with the control samples. GO and KEGG analyses based on the 62 CpG sites demonstrated that several essential cellular processes and signaling pathways were enriched in the system. A total of 12 hub genes related to the identified CpG sites were found in the PPI network. The SVM model based on the selected CpGs within the promoter region, including cg00922748, cg05216211, cg05376185, cg06617468, cg17097119, and cg22385669, was established, and the AUC values of the training set and testing set in the model were 0.8138 and 0.7576. The AUC value of the independent validation set of GSE102177 was 0.6667. Conclusion. We identified potential diagnostic CpG signatures by EWAS integrated with the SVM model. The SVM model based on the identified 6 CpG sites reliably predicted the GDM occurrence, contributing to the diagnosis of GDM. Our finding provides new insights into the cross-application of EWAS and machine learning in GDM investigation.",,"In this study, researchers aimed to identify diagnostic biomarkers for gestational diabetes mellitus (GDM) by analyzing DNA methylation data. They discovered 62 significant CpG methylation sites associated with GDM, leading to the identification of 12 hub genes. Using a support vector machine (SVM) model, six specific CpG sites (cg00922748, cg05216211, cg05376185, cg06617468, cg17097119, and cg22385669) were pinpointed within the promoter region, enabling reliable prediction of GDM occurrence with an area under the curve (AUC) value of 0.7576 in the testing set. This approach demonstrates the potential of integrating epigenome-wide association studies and machine learning for enhancing GDM diagnosis.",,BioMed Research International,0.64
43,10.1038/s43587-023-00391-4,37117793,DOID:9352,type 2 diabetes mellitus,,,blood,"23,960","453,093 CpGs",EPIC,"Type 2 diabetes mellitus (T2D) presents a major health and economic burden that could be alleviated with improved early prediction and intervention. While standard risk factors have shown good predictive performance, we show that the use of blood-based DNA methylation information leads to a significant improvement in the prediction of 10-year T2D incidence risk. Previous studies have been largely constrained by linear assumptions, the use of cytosine–guanine pairs one-at-a-time and binary outcomes. We present a flexible approach (via an R package, MethylPipeR) based on a range of linear and tree-ensemble models that incorporate time-to-event data for prediction. Using the Generation Scotland cohort (training set ncases = 374, ncontrols = 9,461; test set ncases = 252, ncontrols = 4,526) our best-performing model (area under the receiver operating characteristic curve (AUC) = 0.872, area under the precision-recall curve (PRAUC) = 0.302) showed notable improvement in 10-year onset prediction beyond standard risk factors (AUC = 0.839, precision–recall AUC = 0.227). Replication was observed in the German-based KORA study (n = 1,451, ncases = 142, P = 1.6 × 10−5).",,"The study demonstrates that incorporating blood-based DNA methylation information significantly enhances the prediction of 10-year Type 2 diabetes mellitus (T2D) incidence risk beyond standard risk factors. Using various models, including linear and tree-ensemble approaches, the best-performing model (AUC = 0.872, PRAUC = 0.302) outperformed predictions based solely on standard risk factors (AUC = 0.839, precision-recall AUC = 0.227). Notable genes or CpG sites were not specified in the abstract. The findings were validated in the German-based KORA study, confirming the efficacy of the approach in predicting T2D onset.",,Nature Aging,n/a
44,10.2337/db18-0290,31506343,DOID:9352,type 2 diabetes mellitus,,,"EPIC-Norfolk: whole blood
LOLIPOP: ""baseline DNA samples""
FHS: peripheral blood","EPIC-Norfolk, discovery phase: 563 Incident T2DM, 701 Noncase
LOLIPOP, confirmation phase: 1,074 Incident T2DM, 1,590 Noncase
FHS, confirmation phase: 403 Prevalent T2DM, 2,204 Noncase","EPIC-Norfolk: 1,264 samples with methylation intensities at 442,920 autosomal CpG sites
LOLIPOP: n/a
FHS: 2,635 samples and 443,304 CpG probes",450K,"Epigenetic changes may contribute substantially to risks of diseases of aging. Previous studies reported seven methylation variable positions (MVPs) robustly associated with incident type 2 diabetes mellitus (T2DM). However, their causal roles in T2DM are unclear. In an incident T2DM case-cohort study nested within the population-based European Prospective Investigation into Cancer and Nutrition (EPIC)-Norfolk cohort, we used whole blood DNA collected at baseline, up to 11 years before T2DM onset, to investigate the role of methylation in the etiology of T2DM. We identified 15 novel MVPs with robust associations with incident T2DM and robustly confirmed three MVPs identified previously (near to TXNIP, ABCG1, and SREBF1). All 18 MVPs showed directionally consistent associations with incident and prevalent T2DM in independent studies. Further conditional analyses suggested that the identified epigenetic signals appear related to T2DM via glucose and obesity-related pathways acting before the collection of baseline samples. We integrated genome-wide genetic data to identify methylation-associated quantitative trait loci robustly associated with 16 of the 18 MVPs and found one MVP, cg00574958 at CPT1A, with a possible direct causal role in T2DM. None of the implicated genes were previously highlighted by genetic association studies, suggesting that DNA methylation studies may reveal novel biological mechanisms involved in tissue responses to glycemia.",,"In this study, researchers investigated the role of methylation in the development of type 2 diabetes mellitus (T2DM) using DNA samples collected up to 11 years before T2DM onset. They identified 15 new methylation variable positions (MVPs) associated with incident T2DM, confirming three previously known MVPs near TXNIP, ABCG1, and SREBF1. These findings suggested that epigenetic signals related to T2DM are linked to glucose and obesity-related pathways. Additionally, integration with genetic data revealed one MVP, cg00574958 at CPT1A, potentially playing a direct causal role in T2DM, highlighting the significance of DNA methylation studies in uncovering novel biological mechanisms related to glycemia responses.",,Diabetes,2.635
45,10.1093/ije/dyy171,30107520,DOID:9352,type 2 diabetes mellitus,,,whole blood,"T2D: 256 cases, 457 controls
Rural Ghana: 104
Urban Ghana: 243
Europe: 366",713 samples,450K,"Background
Type 2 diabetes (T2D) results from a complex interplay between genetics and the environment. Several epigenome-wide association studies (EWAS) have found DNA methylation loci associated with T2D in European populations. However, data from African populations are lacking. We undertook the first EWAS for T2D among sub-Saharan Africans, aiming at identifying ubiquitous and novel DNA methylation loci associated with T2D.

Methods
The Illumina 450k DNA-methylation array was used on whole blood samples of 713 Ghanaian participants (256 with T2D, 457 controls) from the cross-sectional Research on Obesity and Diabetes among African Migrants (RODAM) study. Differentially methylated positions (DMPs) for T2D and HbA1c were identified through linear regression analysis adjusted for age, sex, estimated cell counts, hybridization batch, array position and body mass index (BMI). We also did a candidate analysis of previously reported EWAS loci for T2D in non-African populations, identified through a systematic literature search.

Results
Four DMPs [cg19693031 (TXNIP), cg04816311 (C7orf50), cg00574958 (CPT1A), cg07988171 (TPM4)] were associated with T2D after correction for inflation by possible systematic biases. The most strongly associated DMP—cg19693031, TXNIP (P = 2.6E-19) —showed hypomethylation in T2D cases compared with controls. Two out of the four DMPs [cg19693031 (TXNIP), cg04816311 (C7orf50)] remained associated with T2D after adjustment for BMI, and one locus [cg07988171 (TPM4)] that has not been reported previously.

Conclusions
In this first EWAS for T2D in sub-Saharan Africans, we have identified four DMPs at epigenome-wide level, one of which is novel. These findings provide insight into the epigenetic loci that underlie the burden of T2D in sub-Saharan Africans.","DNA-methylation, Africans, type 2 diabetes, epigenetic epidemiology, EWAS, RODAM study","In the first epigenome-wide association study (EWAS) for Type 2 diabetes (T2D) among sub-Saharan Africans, researchers identified four differentially methylated positions (DMPs) associated with T2D: cg19693031 (TXNIP), cg04816311 (C7orf50), cg00574958 (CPT1A), and cg07988171 (TPM4). The most significant DMP, cg19693031 (TXNIP), exhibited hypomethylation in T2D cases compared to controls. Two DMPs (cg19693031 and cg04816311) remained associated with T2D even after adjusting for body mass index (BMI), and one of these loci (cg07988171) was previously unreported, shedding light on the epigenetic factors contributing to T2D in sub-Saharan Africans.",,International Journal of Epidemiology,2.815
46,10.1007/s00125-017-4497-7,29164275,DOID:9352,type 2 diabetes mellitus,,,whole blood,"100 T2D cases
100 controls",198 samples (?),450K,"Aims/hypothesis Epigenetic mechanisms may play an impor- tant role in the aetiology of type 2 diabetes. Recent epigenome- wide association studies (EWASs) identified several DNA methylation markers associated with type 2 diabetes, fasting glucose and HbA1c levels. Here we present a systematic review of these studies and attempt to replicate the CpG sites (CpGs) with the most significant associations from these EWASs in a case–control sample of the Lifelines study.

Methods We performed a systematic literature search in PubMed and EMBASE for EWASs to test the association be- tween DNA methylation and type 2 diabetes and/or glycaemic traits and reviewed the search results. For replication purposes we selected 100 unique CpGs identified in peripheral blood, pancreas, adipose tissue and liver from 15 EWASs, using study-specific Bonferroni-corrected significance thresholds. Methylation data (Illumina 450K array) in whole blood from 100 type 2 diabetic individuals and 100 control individuals from the Lifelines study were available. Multivariate linear models were used to examine the associations of the specific CpGs with type 2 diabetes and glycaemic traits.

Results From the 52 CpGs identified in blood and selected for replication, 15 CpGs showed nominally significant associa- tions with type 2 diabetes in the Lifelines sample (p < 0.05). The results for five CpGs (in ABCG1, LOXL2, TXNIP, SLC1A5 and SREBF1) remained significant after a stringent multiple-testing correction (changes in methylation from −3% up to 3.6%, p < 0.0009). All associations were directionally consistent with the original EWAS results. None of the select- ed CpGs from the tissue-specific EWASs were replicated in our methylation data from whole blood. We were also unable to replicate any of the CpGs associated with HbA1c levels in the healthy control individuals of our sample, while two CpGs (in ABCG1 and CCDC57) for fasting glucose were replicated at a nominal significance level (p < 0.05).

Conclusions/interpretation A number of differentially meth- ylated CpGs reported to be associated with type 2 diabetes in the EWAS literature were replicated in blood and show prom- ise for clinical use as disease biomarkers. However, more pro- spective studies are needed to support the robustness of these findings.","DNA methylation, Epigenome-wide association studies, Glucose, Glycated haemoglobin, Systematic review, Type 2 diabetes","In a systematic review of epigenome-wide association studies (EWASs) related to type 2 diabetes, researchers identified 52 CpG sites associated with the condition. In a replication study using data from the Lifelines study, 15 CpG sites, including ones in ABCG1, LOXL2, TXNIP, SLC1A5, and SREBF1, exhibited significant associations with type 2 diabetes even after stringent corrections. These findings suggest potential biomarkers for type 2 diabetes, although further prospective studies are necessary to confirm their clinical utility.",,Diabetologia ,3.349
47,10.1186/s13148-016-0177-6,26823690,DOID:9352,type 2 diabetes mellitus,,,whole blood,123,"468,472 probes",450K,"Background
The prevalence of type 2 diabetes (T2D) and obesity has dramatically increased within a few generations, reaching epidemic levels. In addition to genetic risk factors, epigenetic mechanisms triggered by changing environment are investigated for their role in the pathogenesis of these complex diseases. Epigenome-wide association studies (EWASs) have revealed significant associations of T2D, obesity, and BMI with DNA methylation. However, populations from the Middle East, where T2D and obesity rates are highest worldwide, have not been investigated so far.

Methods
We performed the first EWAS in an Arab population with T2D and BMI and attempted to replicate 47 EWAS associations previously reported in Caucasians. We used the Illumina Infinium HumanMethylation450 BeadChip to quantify DNA methylation in whole blood DNA from 123 subjects of 15 multigenerational families from Qatar. To investigate the effect of differing genetic background and environment on the epigenetic associations, we further assessed the effect of replicated loci in 810 twins from UK.

Results
Our EWAS suggested a novel association between T2D and cg06721411 (DQX1; p value = 1.18 × 10−9). We replicated in the Qatari population seven CpG associations with BMI (SOCS3, p value = 3.99 × 10−6; SREBF1, p value = 4.33 × 10−5; SBNO2, p value = 5.87 × 10−5; CPT1A, p value = 7.99 × 10−5; PRR5L, p value = 1.85 × 10−4; cg03078551, intergenic region on chromosome 17; p value = 1.00 × 10−3; LY6G6E, p value = 1.10 × 10−3) and one with T2D (TXNIP, p value = 2.46 × 10−5). All the associations were further confirmed in the UK cohort for both BMI and T2D. Meta-analysis increased the significance of the observed associations and revealed strong heterogeneity of the effect sizes (apart from CPT1A), although associations at these loci showed concordant direction in the two populations.

Conclusions
Our study replicated eight known CpG associations with T2D or BMI in an Arab population. Heterogeneity of the effects at all loci except CPT1A between the Qatari and UK studies suggests that the underlying mechanisms might depend on genetic background and environmental pressure. Our EWAS results provide a basis for comparison with other ethnicities.",,"In the first epigenome-wide association study (EWAS) conducted in an Arab population with type 2 diabetes (T2D) and obesity, researchers identified a novel association between T2D and cg06721411 (DQX1). They also replicated seven CpG associations with BMI (including SOCS3, SREBF1, SBNO2, CPT1A, PRR5L, cg03078551, LY6G6E) and one with T2D (TXNIP). These findings, confirmed in a UK cohort, highlight genetic and environmental influences, suggesting diverse underlying mechanisms for T2D and obesity in different populations.",,Clinical Epigenetics,2.014
48,10.1016/S2213-8587(15)00127-8,26095709,DOID:9352,type 2 diabetes mellitus,,,peripheral blood (before the onset of T2D),"25,372",172 samples,450K,"Background
Indian Asians, who make up a quarter of the world's population, are at high risk of developing type 2 diabetes. We investigated whether DNA methylation is associated with future type 2 diabetes incidence in Indian Asians and whether differences in methylation patterns between Indian Asians and Europeans are associated with, and could be used to predict, differences in the magnitude of risk of developing type 2 diabetes.

Methods
We did a nested case-control study of DNA methylation in Indian Asians and Europeans with incident type 2 diabetes who were identified from the 8-year follow-up of 25 372 participants in the London Life Sciences Prospective Population (LOLIPOP) study. Patients were recruited between May 1, 2002, and Sept 12, 2008. We did epigenome-wide association analysis using samples from Indian Asians with incident type 2 diabetes and age-matched and sex-matched Indian Asian controls, followed by replication testing of top-ranking signals in Europeans. For both discovery and replication, DNA methylation was measured in the baseline blood sample, which was collected before the onset of type 2 diabetes. Epigenome-wide significance was set at p<1 × 10−7. We compared methylation levels between Indian Asian and European controls without type 2 diabetes at baseline to estimate the potential contribution of DNA methylation to increased risk of future type 2 diabetes incidence among Indian Asians.

Findings
1608 (11·9%) of 13 535 Indian Asians and 306 (4·3%) of 7066 Europeans developed type 2 diabetes over a mean of 8·5 years (SD 1·8) of follow-up. The age-adjusted and sex-adjusted incidence of type 2 diabetes was 3·1 times (95% CI 2·8–3·6; p<0·0001) higher among Indian Asians than among Europeans, and remained 2·5 times (2·1–2·9; p<0·0001) higher after adjustment for adiposity, physical activity, family history of type 2 diabetes, and baseline glycaemic measures. The mean absolute difference in methylation level between type 2 diabetes cases and controls ranged from 0·5% (SD 0·1) to 1·1% (0·2). Methylation markers at five loci were associated with future type 2 diabetes incidence; the relative risk per 1% increase in methylation was 1·09 (95% CI 1·07–1·11; p=1·3 × 10−17) for ABCG1, 0·94 (0·92–0·95; p=4·2 × 10−11) for PHOSPHO1, 0·94 (0·92–0·96; p=1·4 × 10−9) for SOCS3, 1·07 (1·04–1·09; p=2·1 × 10−10) for SREBF1, and 0·92 (0·90–0·94; p=1·2 × 10−17) for TXNIP. A methylation score combining results for the five loci was associated with future type 2 diabetes incidence (relative risk quartile 4 vs quartile 1 3·51, 95% CI 2·79–4·42; p=1·3 × 10−26), and was independent of established risk factors. Methylation score was higher among Indian Asians than Europeans (p=1 × 10−34).

Interpretation
DNA methylation might provide new insights into the pathways underlying type 2 diabetes and offer new opportunities for risk stratification and prevention of type 2 diabetes among Indian Asians.",,"In this study, researchers investigated DNA methylation patterns in Indian Asians and Europeans to understand the risk of developing type 2 diabetes. They found significant differences in methylation levels between those who developed diabetes and controls, with methylation markers at five loci (ABCG1, PHOSPHO1, SOCS3, SREBF1, and TXNIP) associated with future diabetes incidence. A methylation score combining these markers was linked to diabetes risk and was higher in Indian Asians, suggesting that DNA methylation could offer new avenues for understanding and preventing type 2 diabetes in this population.",,The Lancet,14.607
49,10.1007/s00125-022-05652-2,35169870,DOID:9352,type 2 diabetes mellitus,,,whole blood,"Doetinchem: 132 cases, 133 controls
ESTHER: 255 cases, 724 controls
KORA1: 103 cases, 206 controls
KORA2: 197 cases, 186 controls
EPIC-Norfolk: 563 cases, 701 controls
LOLIPOP - replication: 1072 cases, 1587 controls","Total no. of CpG sites included in meta-analysis:
Doetinchem: 424,750
ESTHER: 416,716
KORA1: 450,549
KORA2: 470,870
EPIC-Norfolk: 442,920
LOLIPOP - replication: 466,186","450K [KORA, ESTHER, EPIC-Norfolk, LOLIPOP]
EPIC [Doetinchem]","Aims/hypothesis
Type 2 diabetes is a complex metabolic disease with increasing prevalence worldwide. Improving the prediction of incident type 2 diabetes using epigenetic markers could help tailor prevention efforts to those at the highest risk. The aim of this study was to identify predictive methylation markers for incident type 2 diabetes by combining epigenome-wide association study (EWAS) results from five prospective European cohorts.

Methods
We conducted a meta-analysis of EWASs in blood collected 7–10 years prior to type 2 diabetes diagnosis. DNA methylation was measured with Illumina Infinium Methylation arrays. A total of 1250 cases and 1950 controls from five longitudinal cohorts were included: Doetinchem, ESTHER, KORA1, KORA2 and EPIC-Norfolk. Associations between DNA methylation and incident type 2 diabetes were examined using robust linear regression with adjustment for potential confounders. Inverse-variance fixed-effects meta-analysis of cohort-level individual CpG EWAS estimates was performed using METAL. The methylGSA R package was used for gene set enrichment analysis. Confirmation of genome-wide significant CpG sites was performed in a cohort of Indian Asians (LOLIPOP, UK).

Results
The meta-analysis identified 76 CpG sites that were differentially methylated in individuals with incident type 2 diabetes compared with control individuals (p values <1.1 × 10−7). Sixty-four out of 76 (84.2%) CpG sites were confirmed by directionally consistent effects and p values <0.05 in an independent cohort of Indian Asians. However, on adjustment for baseline BMI only four CpG sites remained genome-wide significant, and addition of the 76 CpG methylation risk score to a prediction model including established predictors of type 2 diabetes (age, sex, BMI and HbA1c) showed no improvement (AUC 0.757 vs 0.753). Gene set enrichment analysis of the full epigenome-wide results clearly showed enrichment of processes linked to insulin signalling, lipid homeostasis and inflammation.

Conclusions/interpretation
By combining results from five European cohorts, and thus significantly increasing study sample size, we identified 76 CpG sites associated with incident type 2 diabetes. Replication of 64 CpGs in an independent cohort of Indian Asians suggests that the association between DNA methylation levels and incident type 2 diabetes is robust and independent of ethnicity. Our data also indicate that BMI partly explains the association between DNA methylation and incident type 2 diabetes. Further studies are required to elucidate the underlying biological mechanisms and to determine potential causal roles of the differentially methylated CpG sites in type 2 diabetes development.","Biomarkers, DNA methylation, Epigenetics, Epigenome-wide association studies, Meta-analysis, Prediction, Prospective studies, Type 2 diabetes","In a meta-analysis of epigenome-wide association studies from five European cohorts, researchers identified 76 CpG sites associated with incident type 2 diabetes. These sites were confirmed in an independent cohort of Indian Asians, indicating a robust and ethnicity-independent association between DNA methylation levels and type 2 diabetes. However, after adjusting for baseline BMI, only four CpG sites remained genome-wide significant. Gene set enrichment analysis revealed connections to insulin signaling, lipid homeostasis, and inflammation, suggesting potential biological mechanisms.",,Diabetologia ,3.349
